,,,,,,link,,,,,,,,,,
10,73,160,2LUDB,0.240024002,1,10.73,,10.73,2LUDB,73.34,2LUDB,,,2 to 2,2 to 4,2 to 6
11,73,160,2LUDB,0.240024002,1,11.73,,11.73,2,73.34,2,,,"10.73,73.34","72.31,31.68","34.29,29.25"
72,31,162,2LUDB,0.243024302,1,72.31,,72.31,2,31.68,4,,,"11.73,73.34","74.31,31.68","34.29,29.37"
74,31,162,2LUDB,0.243024302,1,74.31,,74.31,2,31.68,4,,,"35.74,74.31","11.68,68.38","8.11,11.73"
11,68,200,2LUDB,0.300030003,1,11.68,,11.68,2,68.38,4,,,"72.34,34.29","25.5,5.18","8.11,11.68"
35,74,650,2LUDB,0.97509751,1,35.74,,35.74,2,74.31,2,,,"73.34,34.29","69.1,10.73","9.11,11.73"
72,34,650,2LUDB,0.97509751,1,72.34,,72.34,2,34.29,2,,,"27.35,35.74","82.1,10.73","9.11,11.68"
73,34,650,2LUDB,0.97509751,1,73.34,,73.34,2,34.29,2,,,"28.35,35.74",,"24.27,27.35"
25,50,900,2LUDB,1.350135014,1,25.50,,25.5,2,5.18,4,,,,,"26.27,27.35"
27,35,1100,2LUDB,1.650165017,1,27.35,,27.35,2,35.74,2,,,,,"28.25,25.5"
28,35,1100,2LUDB,1.650165017,1,28.35,,28.35,2,35.74,2,,,,,"29.25,25.5"
34,29,1100,2LUDB,1.650165017,1,34.29,,34.29,2,29.25,6,,,,,"36.28,28.35"
49,51,1200,2LUDB,1.800180018,1,49.51,,34.29,2,29.37,6,,,,,
31,68,200,4LDB,0.300030003,2,31.68,,49.51,2,,,,,,,
69,10,204,4LDB,0.306030603,2,69.10,,31.68,4,68.38,4,,,4 to 4,,
82,10,204,4LDB,0.306030603,2,82.10,,69.1,4,10.73,2,,,,,
19,21,550,4LDB,0.825082508,2,19.21,,69.1,4,10.3,6,,,,,
22,20,600,4LDB,0.900090009,2,22.20,,82.1,4,10.73,2,,,,,
23,20,600,4LDB,0.900090009,2,23.20,,82.1,4,10.3,6,,,,,
