id,tail,head
1,1,2
2,27199,1
3,9545,1
4,2,2502
5,27195,2
6,2,27197
7,655,3
8,3,21153
9,3,4
10,4,5
11,4,10925
12,5,10925
13,14555,5
14,312,5
15,5,6
16,5,2147
17,14555,6
18,6,7
19,7,15765
20,7,73
21,21153,7
22,7,8
23,8,63
24,8,72
25,9,10
26,9,18
27,9,13
28,10,11
29,10,75
30,11,1159
31,11,12
32,76,11
33,1160,12
34,12,76
35,14,20896
36,14,233
37,14,9465
38,14,18
39,15,1159
40,15,9431
41,15,16
42,17,10362
43,17,18
44,17,2125
45,19,20
46,19,645
47,9775,19
48,19,638
49,19,9777
50,174,19
51,20,9785
52,20,21
53,21,22
54,21,745
55,22,23
56,22,798
57,23,311
58,23,774
59,23,91
60,24,2661
61,24,25
62,24,10649
63,25,26
64,25,2663
65,26,27
66,26,2664
67,27,28
68,27,2677
69,28,2678
70,28,192
71,28,29
72,29,11489
73,29,2881
74,30,3873
75,30,31
76,30,14232
77,31,32
78,31,3940
79,32,33
80,32,15925
81,33,34
82,33,23663
83,34,17502
84,34,35
85,35,36
86,35,16021
87,36,37
88,36,16019
89,37,38
90,37,3942
91,38,9495
92,38,39
93,38,17501
94,39,9488
95,39,9489
96,39,40
97,40,41
98,40,13629
99,41,42
100,41,13627
101,42,17503
102,42,43
103,43,9272
104,43,44
105,44,45
106,44,9497
107,45,46
108,45,9273
109,46,47
110,46,3898
111,47,13614
112,47,48
113,48,9279
114,48,49
115,49,50
116,49,16844
117,50,4130
118,50,16840
119,51,52
120,51,513
121,51,514
122,52,24476
123,52,53
124,53,54
125,53,15762
126,54,24477
127,54,55
128,55,56
129,55,24475
130,56,57
131,56,24474
132,24480,57
133,57,58
134,58,15756
135,58,59
136,59,21969
137,59,60
138,60,10422
139,60,2018
140,61,66
141,61,62
142,61,9431
143,63,64
144,63,73
145,64,65
146,64,74
147,65,70
148,65,69
149,65,236
150,66,67
151,66,20896
152,67,15737
153,67,68
154,68,72
155,68,69
156,69,2144
157,70,71
158,70,9472
159,74,71
160,71,242
161,72,9431
162,73,74
163,76,13956
164,76,77
165,77,95
166,77,96
167,2967,78
168,261,78
169,78,14325
170,78,446
171,10402,78
172,78,79
173,10402,79
174,79,3077
175,80,10403
176,80,81
177,24157,80
178,81,82
179,3074,81
180,82,83
181,82,3068
182,83,84
183,83,3066
184,84,3045
185,84,85
186,84,3046
187,85,86
188,85,20791
189,86,3046
190,86,87
191,11086,87
192,87,3050
193,625,88
194,88,89
195,597,88
196,89,595
197,89,90
198,90,2656
199,90,614
200,91,92
201,91,744
202,92,93
203,92,6762
204,93,6762
205,93,94
206,94,6761
207,94,95
208,95,6764
209,96,748
210,96,97
211,97,749
212,97,98
213,98,99
214,98,747
215,20923,99
216,99,19632
217,99,100
218,19651,100
219,100,973
220,100,26636
221,101,102
222,105,101
223,101,10752
224,10743,102
225,102,103
226,102,104
227,103,104
228,103,435
229,104,2218
230,104,105
231,2217,105
232,2926,106
233,106,107
234,106,11741
235,106,2779
236,106,2786
237,107,2817
238,107,2777
239,108,15708
240,19699,108
241,108,109
242,108,352
243,109,110
244,351,109
245,110,111
246,110,2839
247,111,2850
248,111,112
249,112,2837
250,112,191
251,112,2933
252,113,9477
253,113,2713
254,18054,113
255,113,114
256,114,115
257,114,2709
258,19700,114
259,114,18054
260,18053,114
261,19700,115
262,115,25553
263,116,3081
264,116,5921
265,116,117
266,116,10405
267,117,118
268,117,3072
269,118,3057
270,118,119
271,119,120
272,119,11084
273,120,3084
274,120,121
275,121,122
276,121,11084
277,122,3036
278,122,123
279,123,124
280,123,2291
281,123,2292
282,124,297
283,296,124
284,22100,125
285,3180,125
286,125,126
287,126,127
288,126,27637
289,127,3114
290,127,3097
291,128,129
292,128,11147
293,1596,128
294,1596,129
295,129,130
296,129,1597
297,130,131
298,130,26917
299,131,22872
300,131,14629
301,14623,131
302,26577,131
303,12412,132
304,132,22816
305,22865,132
306,14627,132
307,132,12413
308,132,133
309,22865,133
310,133,134
311,134,8192
312,134,8193
313,134,135
314,135,8281
315,135,136
316,136,4472
317,136,137
318,137,138
319,137,4473
320,137,4472
321,138,7030
322,138,139
323,139,140
324,139,6164
325,140,8273
326,140,141
327,141,8279
328,141,142
329,142,8278
330,142,143
331,143,525
332,143,526
333,143,144
334,144,145
335,144,7436
336,145,8666
337,145,146
338,146,147
339,146,8666
340,4674,147
341,147,148
342,147,4675
343,9412,148
344,148,12402
345,10157,149
346,17100,149
347,149,150
348,150,151
349,150,4594
350,151,152
351,151,14397
352,151,1604
353,152,1602
354,152,4603
355,152,153
356,153,14424
357,153,154
358,154,14721
359,154,155
360,155,14419
361,155,156
362,156,14413
363,156,14394
364,157,158
365,26647,157
366,27674,157
367,157,313
368,157,2226
369,158,159
370,2295,158
371,159,160
372,159,2211
373,160,161
374,160,18816
375,161,2208
376,161,162
377,162,163
378,162,2295
379,10370,162
380,163,388
381,301,163
382,164,2363
383,164,2335
384,164,165
385,164,2362
386,165,26651
387,165,166
388,166,167
389,166,2301
390,167,168
391,167,2300
392,168,26645
393,2327,168
394,169,9503
395,2256,169
396,169,519
397,308,169
398,169,170
399,170,171
400,170,2242
401,171,172
402,171,2242
403,172,173
404,172,242
405,173,174
406,173,9513
407,174,15768
408,175,3245
409,175,19723
410,175,19763
411,176,3179
412,176,3166
413,14371,176
414,176,177
415,177,178
416,177,3140
417,177,3139
418,178,179
419,178,3142
420,178,3141
421,179,3175
422,179,3176
423,179,180
424,180,181
425,3114,180
426,180,3097
427,181,22100
428,28045,181
429,181,3114
430,182,183
431,182,2681
432,184,182
433,182,185
434,183,2205
435,184,183
436,10654,184
437,185,2904
438,185,186
439,186,187
440,186,2934
441,187,188
442,187,2930
443,188,189
444,188,2929
445,189,190
446,189,2892
447,190,191
448,190,2866
449,191,2864
450,20875,193
451,193,194
452,19451,193
453,193,18140
454,194,19451
455,194,195
456,19450,194
457,195,196
458,195,199
459,195,200
460,196,18144
461,196,19829
462,196,18156
463,197,12547
464,197,198
465,12546,197
466,198,20423
467,1948,198
468,198,199
469,199,12602
470,200,19692
471,18150,200
472,6712,201
473,201,856
474,201,3224
475,3221,202
476,202,858
477,202,203
478,203,6712
479,203,204
480,203,6711
481,204,6711
482,204,205
483,205,849
484,205,1105
485,205,850
486,206,207
487,206,19230
488,11292,206
489,207,9516
490,207,208
491,208,19231
492,208,6226
493,9547,209
494,209,210
495,209,10376
496,210,10376
497,210,211
498,19316,210
499,211,10363
500,211,19316
501,10372,211
502,10665,212
503,9552,212
504,212,213
505,213,214
506,213,10673
507,214,9540
508,214,215
509,214,225
510,215,27193
511,27196,215
