link_id,tail,head,length
19711,20155,11353,48
19717,11357,11363,112
19716,11356,20155,148
19715,11363,11356,118
4026,2005,2006,77
4024,2004,2005,70
13734,7477,12403,212
4020,2002,2003,263
4021,2003,2004,80
4029,2006,2007,170
65528,19434,19433,77
43270,15047,3279,144
344,148,12402,10
345,10157,149,430
22263,13337,13338,12
347,149,150,210
3999,1993,28225,166
343,9412,148,84
22269,13341,18038,114
22268,13339,14595,204
348,150,151,464
16671,9404,9399,31
16675,11296,9404,227
16678,12395,9412,56
32659,21846,21783,248
11542,6164,7030,98
11541,7639,6164,41
299,131,22872,19
296,129,1597,87
60824,15402,15335,423
294,1596,129,75
292,128,11147,17
293,1596,128,107
290,127,3097,727
17656,19766,10087,223
61065,15552,15550,151
16709,9430,22865,8
16708,22816,9430,16
16705,9428,9429,145
16706,9429,9430,273
16703,9427,9428,116
24887,20139,15279,87
6050,3258,3259,62
6371,3403,17012,91
20521,20134,11918,43
20529,11929,11923,138
44246,8823,3784,113
44245,3790,3784,146
40989,1698,1697,383
40980,1694,1693,145
40982,1695,1694,84
40983,1696,1695,60
40987,1697,1696,278
28106,18034,18042,149
8947,4649,14340,14
60640,15565,15210,64
54422,19434,10260,2485
22262,21151,13337,409
2682,5770,1320,164
2683,1320,5771,138
41169,1796,1795,155
26970,17024,17025,12
342,147,4675,91
15719,11295,8834,252
15718,8834,8833,49
15717,8833,11296,312
15715,8826,11294,243
15714,8825,8826,256
41165,1795,1794,152
41164,1794,1793,158
20418,11865,20137,69
63549,17810,17809,59
20417,20211,11864,59
1620,755,19380,566
39743,1106,863,233
39749,873,866,84
33856,22866,22867,127
33859,22868,22871,5
30321,19765,19766,320
29960,19480,19481,37
54374,17891,10229,580
54373,10229,10228,1745
17826,10186,19462,143
17825,19461,10186,1478
1190,7432,525,207
40965,1689,1688,68
40962,1687,1686,77
40963,1688,1687,72
40960,1686,1685,76
29817,19362,20671,19
29816,20676,19362,16
40968,1690,1689,184
30747,20154,21811,67
30746,20171,20154,323
1173,10398,515,647
60464,15094,15064,179
23507,19688,14159,822
23506,14159,19689,139
35151,24411,24370,171
23503,14156,23809,243
35156,24395,24380,130
31692,21637,21029,202
31693,21029,21638,517
1280,574,10138,354
1282,1895,574,138
31233,20630,20631,185
8767,4560,14650,694
31231,20629,20630,49
31236,20631,20632,196
8763,21001,4558,65
8762,4558,14652,779
31238,20632,20633,123
31239,20633,20634,100
40416,6117,1343,63
27765,19710,17831,250
450,20875,193,85
29617,19438,19231,96
28218,18140,19673,241
29619,19232,19233,145
29618,19231,26909,89
408,175,3245,47
3836,1918,1919,39
3837,1918,1957,102
3838,10692,1918,194
43264,3278,3277,66
4030,2007,2008,12
4032,2008,6111,342
43260,3276,3275,55
43262,3277,3276,16
43268,3279,3278,451
60904,15406,15404,53
379,10370,162,95
22271,18042,13344,68
24709,15157,15178,109
25054,15404,15406,53
6143,3301,3302,96
43193,14242,3243,100
6141,3300,3301,73
43196,10267,3244,552
6146,3302,20610,130
24951,15319,15335,44
43199,3246,3245,98
69497,23418,23417,44
26958,17016,17017,54
17624,10066,14580,216
3748,1871,1872,59
3746,1870,1871,48
3747,1871,18158,67
3744,1869,1870,59
25439,15749,18839,143
41821,6120,2195,64
55808,11216,11215,13
25437,19630,15746,24
32003,21232,21641,61
19562,11223,11225,16
52103,9426,8650,92
24890,15280,20208,149
3697,1841,7057,38
6369,3402,3403,174
6362,3400,3401,359
6367,3401,3402,131
53346,9429,9428,145
53347,9430,9429,273
53344,9428,9427,116
48229,6053,6052,444
53340,9427,9426,93
41359,1896,1892,175
48224,6051,6050,108
48226,6052,6051,279
24099,26915,14623,168
48223,23442,6049,34
48222,6050,6049,26
17753,10140,14651,52
17752,22872,10140,177
17754,10140,10141,57
3529,1767,1768,53
45780,5081,4571,181
24662,15117,15122,156
26960,17018,17019,255
41179,1801,1800,77
26965,17020,17021,242
41173,1798,1797,40
41170,1797,1796,57
60509,15102,15100,47
41177,1800,1799,12
41175,1799,1798,175
3672,1831,1832,106
3673,1831,10692,15
3671,1830,1831,48
39777,887,883,32
3237,1636,9976,255
1619,19387,755,140
3238,14652,1636,356
39778,1105,883,38
49798,7056,7054,68
25110,15460,15461,67
41593,2040,2039,139
41594,6119,2039,271
41597,2043,2040,173
40318,9956,1284,289
41570,2195,2026,257
7064,14414,3731,126
38741,130,129,364
38740,129,128,54
38742,131,130,133
40952,1683,1682,151
40950,1682,1681,60
37762,27193,27194,32
37763,27193,27195,350
40954,1684,1683,66
40958,1685,1684,64
1767,849,19652,59
40770,6046,1561,114
1140,26555,500,8
30755,20163,20164,22
43220,3256,3255,63
24397,14888,14894,62
24396,14888,14891,131
31206,20616,20617,284
31204,20615,20616,171
31203,20614,20615,99
31201,20613,20614,42
1784,859,1577,538
8029,4682,4194,180
8027,4194,12528,73
15054,10055,8425,598
15056,10054,8426,104
15057,8426,19896,475
17920,10229,17891,580
15053,8425,10054,396
410,175,19763,13
32497,21650,21651,367
32494,21649,21650,160
3326,1677,1723,199
32491,21647,21648,94
27801,17850,21844,63
32498,21651,21652,295
43210,3252,3251,111
43212,3253,3252,138
43215,3254,3253,377
43217,3255,3254,71
60931,15445,15435,210
24773,15210,15565,64
24772,15209,15210,149
362,156,14413,416
361,155,156,199
32673,21794,21795,163
32671,21793,21794,53
32676,21796,21797,30
32674,21795,21796,82
25040,15394,15404,132
32678,21797,21798,31
380,163,388,13
381,301,163,601
12729,9399,6886,267
12727,6886,9388,352
64851,28225,18851,65
13662,12409,7432,104
13665,7434,9419,29
13664,7434,9418,57
60802,20433,15319,51
60801,15335,15319,44
3759,1875,7054,85
25137,15483,15486,97
3751,1873,1874,53
3750,1872,1873,58
3753,1873,18159,65
60484,15092,15074,82
3755,1874,1875,61
25139,15486,15502,73
24952,15319,20433,51
55816,11220,11219,30
53993,9971,9962,152
55811,11218,11217,15
55813,11219,11218,23
11582,20636,6190,223
11583,6190,20637,231
18387,20221,10493,101
65526,19433,19432,1499
40761,3669,1557,334
60790,20433,15313,7
40762,1767,1557,100
6355,3398,3399,210
6358,3398,14580,150
6359,3399,3400,341
40942,5956,1678,203
2732,1343,6117,63
33185,22236,22237,18
3531,1768,1769,159
3530,6919,1767,56
17749,10138,10495,106
3534,1769,1770,8
3537,1770,1771,66
3539,1771,1772,61
6077,3271,3272,27
60461,15062,15060,33
1812,873,874,42
45799,17809,4579,42
20384,12542,11849,317
20385,11849,20157,580
70352,26583,24449,174
4009,1997,1998,277
26956,17015,17016,96
26953,17014,17015,79
26951,17013,17014,82
26950,17012,17013,60
43259,3275,3274,63
39762,874,873,42
18435,20622,10518,586
18436,10518,20623,405
3323,6229,1676,56
3325,1676,8078,168
27800,21843,17850,197
3327,1724,1677,199
3329,1678,5956,203
3971,19930,1980,90
1771,851,866,55
3970,1980,10412,142
1778,856,857,61
41146,1785,1784,120
33234,22287,22288,38
33236,22288,22289,20
40944,1679,1678,66
33239,22289,22290,157
40946,1680,1679,246
40947,1681,1680,69
40940,1677,1676,54
40941,6229,1677,52
41149,8041,1785,191
41148,10164,1784,69
30761,21810,20168,270
30760,20168,20171,578
30767,20172,20173,51
30768,20173,20174,121
1150,505,1262,631
1152,21971,505,293
1178,516,21971,109
15115,8455,17874,242
15114,8454,8455,8
15110,8452,8453,254
15112,8453,8454,0
29900,19432,19433,1499
29902,19433,19434,77
29905,19436,19437,71
31210,20617,20618,62
31211,20618,20619,147
31213,20619,20620,246
31216,20620,20621,336
31217,20621,20622,272
60274,14899,14896,202
25007,15366,15410,25
43489,3401,3400,359
14514,8039,8041,72
60273,14908,14896,216
428,28045,181,124
35134,24380,24361,60
60576,15178,15157,109
425,3114,180,12
31109,20843,20549,59
427,181,22100,1314
426,180,3097,409
32482,21636,21637,101
32483,24783,21636,59
32486,21639,21640,1437
32487,21643,21644,9
32488,21644,21645,13
61036,15530,15516,228
25009,15367,15410,83
43202,3248,3247,84
23252,17021,14028,66
23251,14028,14032,231
43207,3250,3249,43
43204,3249,3248,182
43209,3251,3250,52
11656,6226,11290,316
60929,15483,15435,90
4295,26603,2151,17
4296,2152,5768,9
51582,9419,8292,122
51583,9420,8292,37
24766,15204,15562,39
24764,15204,15565,124
55267,10844,10843,95
19616,11288,11285,96
55269,10845,10844,12
19615,11283,11289,85
12731,6887,7925,288
24616,15074,15100,44
24617,15074,15092,82
16000,10166,8980,34
25145,15492,15502,22
25144,15492,15496,121
