id,longitude,latitude
1,80.2844352,13.0852831
2,80.2817664,13.0822454
3,80.2577221,13.038751
4,80.2568447,13.038166
5,80.2566621,13.0380709
6,80.256677,13.0381532
7,80.2571887,13.0388717
8,80.2559325,13.039099
9,80.2518552,13.0401481
10,80.2517109,13.0394835
11,80.2515727,13.0388011
12,80.251559,13.0387515
13,80.25043,13.0400476
14,80.2519819,13.0414945
15,80.2525086,13.0395626
16,80.252592,13.0403949
17,80.2504499,13.0407221
18,80.251991,13.0407972
19,80.2570488,13.0348934
20,80.2559497,13.0349534
21,80.2556048,13.0349894
22,80.2549415,13.0350617
23,80.2544569,13.035095
24,80.2599491,13.018654
25,80.2595331,13.0209134
26,80.259465,13.0213374
27,80.2593842,13.0217095
28,80.259261,13.0222409
29,80.2587358,13.0234262
30,80.1921614,13.0490014
31,80.1921461,13.0494184
32,80.1921129,13.049681
33,80.1920887,13.0507718
34,80.1920692,13.0512209
35,80.1920616,13.0515469
36,80.1921044,13.0520604
37,80.1921324,13.0525469
38,80.1922211,13.0531926
39,80.1927526,13.0542787
40,80.1932013,13.0551956
41,80.193433,13.0557765
42,80.1936822,13.0562819
43,80.1939248,13.0567753
44,80.1941023,13.0571256
45,80.1943412,13.0575036
46,80.1946283,13.0581298
47,80.1951909,13.0592349
48,80.1955213,13.059884
49,80.1956371,13.0601703
50,80.1958648,13.0605587
51,80.2433815,13.0802744
52,80.242401,13.0802615
53,80.241927,13.0802552
54,80.2418516,13.0802559
55,80.241695,13.0802574
56,80.241341,13.0802607
57,80.2407551,13.0802661
58,80.2403721,13.0802846
59,80.2386569,13.080066
60,80.2373723,13.0795573
61,80.2547068,13.0401479
62,80.2534574,13.0402912
63,80.2560404,13.0397473
64,80.2561423,13.0403598
65,80.2562506,13.0410104
66,80.2548625,13.0411381
67,80.2552209,13.0410905
68,80.255375,13.0410781
69,80.2555902,13.0410608
70,80.2571461,13.0409513
71,80.2583727,13.0408388
72,80.2550668,13.0392354
73,80.2576812,13.0394744
74,80.2579705,13.0400433
75,80.2503819,13.0396454
76,80.2513956,13.0387744
77,80.2508115,13.0352945
78,80.2435129,13.0658639
79,80.2439891,13.0660778
80,80.2477614,13.0679336
81,80.247951,13.0675264
82,80.2478687,13.0663409
83,80.2477468,13.0645291
84,80.2476733,13.0627957
85,80.2476409,13.0619393
86,80.2476558,13.0618621
87,80.2471079,13.0611951
88,80.2586694,13.0076542
89,80.2588676,13.0080678
90,80.2590341,13.009357
91,80.2535574,13.0351525
92,80.2532245,13.0351744
93,80.2528984,13.0351769
94,80.2526714,13.0351832
95,80.2524025,13.03519
96,80.2494499,13.0353524
97,80.2480029,13.0354349
98,80.2467911,13.0355097
99,80.2462221,13.0355538
100,80.2460581,13.0355643
101,80.2807996,13.0500343
102,80.2806834,13.0500527
103,80.2799014,13.0504824
104,80.2808119,13.0507959
105,80.2809032,13.0508648
106,80.273905,13.0240186
107,80.274563,13.0237221
108,80.2665819,13.029222
109,80.2664775,13.0290848
110,80.266211,13.0276699
111,80.2661289,13.0270492
112,80.265979,13.026298
113,80.268535,13.0364809
114,80.2677361,13.0367784
115,80.26753,13.0368398
116,80.2542745,13.0668083
117,80.2544295,13.0630376
118,80.2545384,13.0615893
119,80.2544313,13.0605377
120,80.2542755,13.0591597
121,80.2541968,13.0590021
122,80.2551442,13.0570485
123,80.2554089,13.0561984
124,80.2555623,13.0557701
125,80.2286964,13.0091603
126,80.2310835,13.0086946
127,80.2374709,13.0074523
128,80.2253225,13.0159173
129,80.225371,13.0154295
130,80.2238553,13.0124887
131,80.2232768,13.0114272
132,80.2195861,12.9915073
133,80.2195832,12.991367
134,80.2189376,12.9895098
135,80.2187739,12.9890146
136,80.2186274,12.988566
137,80.2185669,12.9882887
138,80.2183539,12.9874148
139,80.2181415,12.9865574
140,80.2181218,12.98646
141,80.2180193,12.9858468
142,80.2179777,12.9850002
143,80.2179846,12.9842469
